144114	airplane	1.57993	75	152	345	288	airplane	0.93291	20	151	500	285
388902	goldfish	-0.172054	0	130	75	169	bird	-0.186266	0	120	75	170
171298	bus	0.720143	0	112	129	337	coffee maker	-0.185462	0	151	40	270
126260	car	0.788693	174	229	250	261	watercraft	-0.716147	0	129	268	268
223626	domestic cat	0.384384	108.896	234.192	231.912	420.84	dog	0.118519	131.2	227.632	231.912	386.072
422886	person	1.89968	0	0	395	500	hat with a wide brim	1.24914	27	22	273	229
362219	cup or mug	2.42316	86	0	500	375	bowl	0.89249	71	0	425	227
26201	bicycle	3.33441	78	268	158	326	bicycle	3.33441	78	268	158	326
561314	bench	-0.445827	0	12	353	375	bench	-0.447278	0	14	353	375
546687	person	1.02477	83	178	104	222	car	0.14353	378	194	445	254
274959	watercraft	0.586013	0	0	500	375	airplane	0.228662	0	0	500	199
323847	bird	2.47501	42.4	41.552	190.952	465.704	dog	-0.767603	0.0	368.032	98.52	500.472
371322	person	1.77001	53	262	73	326	watercraft	-0.0107346	168	173	205	211
351840	golfcart	0.251084	87.0	96.0	375.25	489.25	car	-0.061058	0.0	102.75	337.75	420.25
306395	dog	1.43653	141	65	455	265	bowl	-0.244459	72	62	459	334
361055	person	1.29142	127.206	95.904	233.434	363.97	dog	0.599986	127.206	192.474	186.814	363.97
166995	dog	1.29966	104.52	55.61	273.69	213.39	drum	0.585495	144.72	295.47	237.51	412.38
75990	person	2.69845	54	172	104	334	horse	1.1719	214	120	396	316
579457	person	1.32338	253	0	364	333	horse	0.860548	111	18	274	333
140292	train	1.03416	203	229	274	312	train	0.645535	119	216	274	312
436280	airplane	4.37633	0	86	488	257	volleyball	0.0316076	372	86	488	131
74711	bird	3.41484	82	98	207	198	hippopotamus	-0.0634834	283	211	386	255
26201	bicycle	3.33441	78	268	158	326	bicycle	3.33441	78	268	158	326
572427	punching bag	0.669591	0	0	278	209	punching bag	0.575906	0	0	244	264
209419	dog	1.70358	200	35	424	371	crutch	0.68977	0	0	122	208
512657	person	0.780266	312	189	403	333	face powder	-0.0755035	68	126	109	169
531995	dog	0.284075	170	116	350	363	salt or pepper shaker	-0.394261	6	33	65	100
23033	horse	1.73938	146	29	380	384	horse	0.437252	193	30	380	310
106575	person	1.32748	113	0	378	333	maillot	0.322197	213	108	394	304
561967	train	2.72279	151	48	411	291	bus	0.432009	297	157	400	274
316429	person	0.164161	160.5	121.5	181.0	145.0	person	0.036124	102.0	92.25	130.0	124.0
402000	person	2.005	198	229	226	317	whale	0.0980165	290	35	386	56
184324	car	0.647618	212	183	269	210	person	0.531184	430	197	471	275
150623	person	1.71563	210	86	375	334	car	-0.0747505	205	95	295	150
178299	domestic cat	0.188688	255	70	382	190	cream	-0.0517704	34	0	102	127
1404	person	0.879935	0.0	97.24	238.864	500.664	person	-0.2625	0.0	24.684	374.252	418.384
370765	dog	0.927782	61	0	281	211	dog	-0.244172	0	165	144	375
71215	cart	1.93021	339	158	500	310	person	0.0204668	258	119	310	216
342273	hat with a wide brim	2.43031	166.5	47.25	367.75	211.75	person	1.55239	171.0	46.5	375.25	500.5
166837	train	4.97575	185	111	386	288	train	2.23394	120	107	379	237
127668	car	1.08394	28	231	93	278	airplane	0.909981	186	87	500	298
412693	bird	0.740757	67	94	219	274	balance beam	0.634976	0	227	500	334
228467	bus	1.51591	0	90	366	276	digital clock	-0.334903	288	133	397	158
154854	tape player	-0.0790927	369	244	474	375	car	-0.234463	183	249	293	296
318722	domestic cat	0.129121	173	94	326	294	dog	0.0631043	132	155	338	298
170267	person	1.09439	266	93	500	340	tv or monitor	0.474528	325	35	394	114
131714	camel	0.387632	84	162	281	317	dog	0.178568	0	141	136	242
521879	person	1.61811	213.9	117.18	360.91	433.45	horse	1.03193	0.0	117.18	187.93	282.79
1700	person	4.42757	166	36	313	318	ski	-0.247488	151	268	283	347
539143	train	3.52111	141	119	336	259	train	0.00592113	227	123	466	236
100974	airplane	2.14376	0	100	234	249	tennis ball	0.0199407	400	120	439	153
245513	camel	0.0858058	181	197	278	275	camel	0.0858058	181	197	278	275
78627	bus	1.7059	206	0	500	375	person	1.44347	76	151	156	347
105923	car	0.899057	27	158	87	196	elephant	0.831735	263	63	427	225
353970	domestic cat	0.70149	250	93	380	307	domestic cat	0.177378	224	56	380	307
